stop_name,geometry,address
Arlington Light Rail,POINT (151.1641936 -33.8742468),"Inner West Light Rail, City West Link Offramp, 2040, City West Link Offramp, Inner West Council, New South Wales, Australia"
Capitol Square Light Rail,POINT (-122.32030658760733 47.61963245),"Capitol Hill Light Rail Station, East John Street, 98102, East John Street, Seattle, Washington, United States"
Central Grand Concourse Light Rail,POINT EMPTY,
Convention Light Rail,POINT (-92.09775753018387 46.78088665),"Duluth Entertainment Convention Center, Railroad Street, 55802, Railroad Street, Duluth, MN, United States"
Dulwich Grove Light Rail,POINT (151.1382753 -33.9049952),"Dulwich Grove Light Rail, New Canterbury Rd, New Canterbury Road, 2203, New Canterbury Road, Inner West Council, NSW, Australia"
Dulwich Hill Light Rail,POINT (151.1382753 -33.9049952),"Dulwich Grove Light Rail, New Canterbury Rd, New Canterbury Road, 2203, New Canterbury Road, Inner West Council, NSW, Australia"
Exhibition Centre Light Rail,POINT (-4.283497652057351 55.86150295),"Exhibition Centre Railway Station, Minerva Street, G3 8BY, Minerva Street, Glasgow, Alba / Scotland, United Kingdom"
Fish Market Light Rail,POINT (151.1921126 -33.8704864),"Fish Market Light Rail, Miller St, Miller Street, 2009, Miller Street, Sydney, New South Wales, Australia"
Glebe Light Rail,POINT (151.1641936 -33.8742468),"Inner West Light Rail, City West Link Offramp, 2040, City West Link Offramp, Inner West Council, New South Wales, Australia"
Hawthorne Light Rail,POINT (-2.5180242 51.8733449),"Lea Bailey Light Railway, Hawthorns Road, HR9 5TP, Hawthorns Road, Weston under Penyard, England, United Kingdom"
John Street Square Light Rail,POINT (-122.32030658760733 47.61963245),"Capitol Hill Light Rail Station, East John Street, 98102, East John Street, Seattle, Washington, United States"
Jubilee Park Light Rail,POINT (150.79169 -34.5689981),"Illawarra Light Railway Museum, Tongarra Road, 2527, Tongarra Road, Shellharbour City Council, New South Wales, Australia"
Leichhardt North Light Rail,POINT (113.9633725 22.381827),"輕鐵車廠 Light Rail Depot, 龍門路 Lung Mun Road, 龍門路 Lung Mun Road, 屯門區 Tuen Mun District, 香港 Hong Kong, 中国"
Lewisham West Light Rail,POINT (151.1438188 -33.8933227),"Inner West Light Rail, Cooks to Cove GreenWay, 2049, Cooks to Cove GreenWay, Inner West Council, New South Wales, Australia"
Lilyfield Light Rail,POINT (151.1641936 -33.8742468),"Inner West Light Rail, City West Link Offramp, 2040, City West Link Offramp, Inner West Council, New South Wales, Australia"
Marion Light Rail,POINT (151.1440965 -33.8841059),"Marion Light Rail, Marion St, Marion Street, 2045, Marion Street, Inner West Council, New South Wales, Australia"
Paddy's Markets Light Rail,POINT (151.0047581 -33.8104654),"Parramatta Light Rail, Church and Market Street Corner, 2150, Church and Market Street Corner, Parramatta, New South Wales, Australia"
Pyrmont Bay Light Rail,POINT (151.19787112559248 -33.8740041),"Pyrmont Light Rail Depot, 2000, Sydney, New South Wales, Australia"
Rozelle Bay Light Rail,POINT (-2.5181368 51.8731727),"Lea Bailey Light Railway, Hawthorns Road, HR9 5TP, Hawthorns Road, Weston under Penyard, England, United Kingdom"
Taverners Hill Light Rail,POINT (-122.32030658760733 47.61963245),"Capitol Hill Light Rail Station, East John Street, 98102, East John Street, Seattle, Washington, United States"
The Star Light Rail,POINT (-2.8800707 55.7439694),"Lauder Light Railway, TD1 2RZ, Alba / Scotland, United Kingdom"
UNKNOWN,POINT (92.33087891709363 26.49253305),"unknown, India"
Waratah Mills Light Rail,POINT (-96.9291037 32.983526),"DART Light Rail, West Trinity Mills Road, 75007, West Trinity Mills Road, Carrollton, Texas, United States"
Wentworth Park Light Rail,POINT (150.79169 -34.5689981),"Illawarra Light Railway Museum, Tongarra Road, 2527, Tongarra Road, Shellharbour City Council, New South Wales, Australia"
Civic Light Rail,POINT (151.0041944 -33.8153658),"Parramatta Light Rail, Civic Place, 2150, Civic Place, City of Parramatta Council, New South Wales, Australia"
Crown Street Light Rail,POINT (-122.32030658760733 47.61963245),"Capitol Hill Light Rail Station, East John Street, 98102, East John Street, Seattle, Washington, United States"
Honeysuckle Light Rail,POINT (151.7630911 -32.9256916),"Newcastle Light Railway, Honeysuckle Drive, 2300, Honeysuckle Drive, Newcastle City Council, New South Wales, Australia"
Newcastle Beach Light Rail,POINT (151.7857819 -32.927358),"Newcastle Light Rail, Pacific Street, 2300, Pacific Street, Newcastle City Council, New South Wales, Australia"
Newcastle Interchange Light Rail,POINT (151.7857819 -32.927358),"Newcastle Light Rail, Pacific Street, 2300, Pacific Street, Newcastle City Council, New South Wales, Australia"
Queens Wharf Light Rail,POINT (-79.40490551857536 43.635867),"Queen's Wharf Lighthouse, Lake Shore Boulevard West, M5V 1A4, Lake Shore Boulevard West, Toronto, Ontario, Canada"
Bridge Street Light Rail,POINT (-105.00207994006064 39.756710749999996),"18th Street Bridge, Light Rail Plaza, 80202, Light Rail Plaza, Denver, Colorado, United States"
Central Chalmers Street Light Rail,POINT (151.2069378 -33.8854826),"CBD and South East Light Rail, Chalmers Street, 2010, Chalmers Street, Sydney, New South Wales, Australia"
Chinatown Light Rail,POINT (151.2071131 -33.880762),"Inner West Light Rail, Railway Colonnade Drive, 2000, Railway Colonnade Drive, Sydney, New South Wales, Australia"
Circular Quay Light Rail,POINT (-4.677266299160447 51.20172025),"Lundy North Lighthouse, Lundy Quarry Railway, EX39 2LY, Lundy Quarry Railway, Torridge, England, United Kingdom"
Haymarket Light Rail,POINT (151.2051542 -33.8812683),"Haymarket Light Rail Stop, Rawson Pl, Rawson Place, 2000, Rawson Place, Sydney, New South Wales, Australia"
Moore Park Light Rail,POINT (151.2216654 -33.8929313),"CBD and South East Light Rail, Dr Agnes Bennett Footbridge, 2021, Dr Agnes Bennett Footbridge, Sydney, New South Wales, Australia"
QVB Light Rail,POINT (151.1641936 -33.8742468),"Inner West Light Rail, City West Link Offramp, 2040, City West Link Offramp, Inner West Council, New South Wales, Australia"
Randwick Light Rail,POINT (151.2395026 -33.9169754),"CBD and South East Light Rail, High Street, 2031, High Street, Randwick, NSW, Australia"
Royal Randwick Light Rail,POINT (151.2395026 -33.9169754),"CBD and South East Light Rail, High Street, 2031, High Street, Randwick, NSW, Australia"
Surry Hills Light Rail,POINT (151.2102151 -33.8873769),"CBD and South East Light Rail, Belvoir Street, 2010, Belvoir Street, Sydney, New South Wales, Australia"
Town Hall Light Rail,POINT (1.1171394503368397 52.25032745),"Mid Suffolk Light Railway, Hall Lane, IP14 5PW, Hall Lane, Wetheringsett, England, United Kingdom"
UNSW High Street Light Rail,POINT (151.2395026 -33.9169754),"CBD and South East Light Rail, High Street, 2031, High Street, Randwick, NSW, Australia"
Wansey Road Light Rail,POINT (151.2355941 -33.9114276),"CBD and South East Light Rail, Wansey Road, 2031, Wansey Road, Randwick City Council, NSW, Australia"
Wynyard Light Rail,POINT (151.1641936 -33.8742468),"Inner West Light Rail, City West Link Offramp, 2040, City West Link Offramp, Inner West Council, New South Wales, Australia"
ES Marks Light Rail,POINT (-70.8648377603896 42.8115259),"Front Range Light, Clipper City Rail Trail, 01950, Clipper City Rail Trail, Newburyport, Massachusetts, United States"
Juniors Kingsford Light Rail,POINT (151.2292479 -33.9250176),"Juniors Kingsford Light Rail Stand B, Anzac Parade, 2032, Anzac Parade, Kingsford, New South Wales, Australia"
Kensington Light Rail,POINT (151.225653 -33.9154447),"CBD and South East Light Rail, Anzac Parade, 2033, Anzac Parade, Kensington, New South Wales, Australia"
Kingsford Light Rail,POINT (151.2292479 -33.9250176),"Juniors Kingsford Light Rail Stand B, Anzac Parade, 2032, Anzac Parade, Kingsford, New South Wales, Australia"
UNSW Anzac Parade Light Rail,POINT (151.2233366 -33.9092144),"CBD and South East Light Rail, Anzac Parade, 2033, Anzac Parade, Randwick City Council, NSW, Australia"
